시설명,시도,시군구,시설주소,대표전화,데이터기준일자
천안여자단기청소년쉼터,충남 ,천안시,충청남도 천안시 서북구 쌍용14길 77,041-576-1316,2023-09-30
홍성여자단기청소년쉼터,충남 ,홍성군,충청남도 홍성군 홍성읍 의사로36번길 49 다기능복지센터 4층,041-631-6560,2023-09-30
공주시남자중장기청소년쉼터,충남 ,공주시,충청남도 공주시 대추골1길 45-6,041-853-1337,2023-09-30
공주시여자중장기청소년쉼터,충남 ,공주시,충청남도 공주시 버드나무1길 64 (옥룡동),041-853-4486,2023-09-30
당진시여자단기청소년쉼터,충남 ,당진시,"충청남도 당진시 당진시장동길 74, 2층(201,202호)",041-352-8701,2023-09-30
"익산일시청소년쉼터(고정형, 디딤돌)",전북 ,익산시,전라북도 익산시 고봉로28길 31(영등동) 3층,063-857-1091,2023-09-30
전주남자단기청소년쉼터(한울안),전북 ,전주시,전라북도 전주시 완산구 범안1길 26-8 (효자동2가) 402호,063-251-3530,2023-09-30
군산남자단기청소년쉼터,전북 ,군산시,"전라북도 군산시 상나운로 37, 현대백조상가 2층",063-471-1091,2023-09-30
전주여자단기청소년쉼터(푸른),전북 ,전주시,전라북도 전주시 덕진구 무삼지3길 5-6 (인후동1가),063-903-1091,2023-09-30
전주남자중장기청소년쉼터(임마누엘),전북 ,전주시,전라북도 전주시 덕진구 진버들6길 30-22(우아동 2가),063-244-1774,2023-09-30
군산여자중장기청소년쉼터(꽃동산),전북 ,군산시,전라북도 군산시 검다메안길6-6(2층),063-451-1091,2023-09-30
목포남자단기청소년쉼터,전남 ,목포시,"전라남도 목포시 호남로52번길 19-1, 3~4층",061-278-1388,2023-09-30
여수남자단기청소년쉼터,전남 ,여수시,"전라남도 여수시새터로94, 3층",061-644-0918,2023-09-30
여수여자단기청소년쉼터,전남 ,여수시,"전라남도 여수시 무선3길 2, 3층",061-661-0924,2023-09-30
목포남자중장기청소년쉼터,전남 ,목포시,전라남도 목포시 산정로 69.2층,061-287-1388,2023-09-30
경상북도남자단기청소년쉼터,경북 ,구미시,경상북도 구미시 형곡로 34길 31(형곡동),054-455-1234,2023-09-30
구미시여자단기청소년쉼터,경북 ,구미시,경상북도 구미시 원남로10길 13-3,054-444-1388,2023-09-30
경주시여자단기청소년쉼터,경북 ,경주시,경상북도 경주시 봉황로 168 (성건동),054-748-1388,2023-09-30
포항시여자단기청소년쉼터,경북 ,포항시,경상북도 포항시 북구 서동로 76,054-246-1004,2023-09-30
포항시남자중장기청소년쉼터,경북 ,포항시,경상북도 포항시 북구 중흥로 171번길 43-1,054-284-1388,2023-09-30
경상북도여자중장기청소년쉼터,경북 ,안동시,경상북도 안동시 퇴계로 270 (안막동),054-857-6137,2023-09-30
포항시여자중장기청소년쉼터,경북 ,포항시,경상북도 포항시 남구 상공로233번길 11 (해도동),054-244-1318,2023-09-30
경상남도일시청소년쉼터(고정형),경남 ,창원시,경상남도 창원시 성산구 용지로 133번길 11(3층),055-285-7361,2023-09-30
창원시남자단기청소년쉼터(하라),경남 ,창원시,경상남도 창원시 의창구 하남천서길37번길 6-4,055-237-1318,2023-09-30
김해시여자단기청소년쉼터,경남 ,김해시,"경상남도 김해시 분성로 277, 5층",055-332-1318,2023-09-30
경상남도남자중장기청소년쉼터,경남 ,창원시,경상남도 창원시 성산구 비음로55번길 14-3,055-274-0924,2023-09-30
경상남도여자중장기청소년쉼터(클라라의 집),경남 ,진주시,경상남도 진주시 석갑로 142번길 3,055-745-1316,2023-09-30
"제주시일시청소년쉼터(이동형, 버프)",제주 ,제주시,제주특별자치도 제주시 신설로 7길 4,064-723-0179,2023-09-30
제주특별자치도일시청소년쉼터(고정형),제주 ,제주시,제주특별자치도 제주시 한림읍 명월로 324-3,064-796-0922,2023-09-30
서귀포시남자단기청소년쉼터,제주 ,서귀포시,제주특별자치도 서귀포시 중앙로 150번길 10,064-739-9805,2023-09-30
제주시여자단기청소년쉼터,제주 ,제주시,"제주특별자치도 제주시 만덕로3길 2, 3층(건입동)",064-751-1388,2023-09-30
제주시남자중장기청소년쉼터,제주 ,제주시,제주특별자치도 제주시 벌랑길 47(삼양삼동),064-759-1388,2023-09-30
서귀포시여자중장기청소년쉼터,제주 ,서귀포시,제주특별자치도 서귀포시 장수로2(동홍동),064-733-1376,2023-09-30
